,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
4732,396108,Central Bangalore,Bangalore,Suzy Q By 1522,800,4.3,20,"['Continental', 'Indian', 'Seafood', 'Asian', 'Chaat', 'Desserts']",Central Bangalore,47
4733,396127,Topsia,Kolkata,The Pizza Palace,450,4.5,50,"['Chinese', 'Italian', 'Beverages', 'Pizzas', 'Snacks']",Central Kolkata,69
4734,396189,Rajajinagar,Bangalore,Paratha Box - 2X Filling,250,4.0,100,"['North Indian', 'Punjabi', 'Fast Food', 'Indian', 'Beverages', 'Snacks', 'Healthy Food']",Chord Rd,57
4735,396274,Kothapet & Dilsukhnagar,Hyderabad,Lalaji Dilli Wale Chaat,300,2.9,80,"['Chaat', 'Fast Food', 'Maharashtrian', 'Beverages']",Kothapet & Dilsukhnagar,66
4736,396318,Ghatkopar Vikhroli,Mumbai,Aai'S Kitchen,350,2.9,80,"['North Indian', 'Biryani']",Ghatkopar Vikhroli,60
4737,396391,Scruz Bandra East,Mumbai,Elvics Kitchen,300,4.9,20,['Chinese  Indian  Beverages'],Scruz Bandra East,48
4738,396534,Viman Nagar,Pune,Breakfast Bee,199,2.9,80,"['Chinese', 'Biryani', 'Tibetan', 'Punjabi', 'American', 'Desserts', 'Fast Food', 'Mexican', 'Seafood']",Viman Nagar,81
4739,396555,Viman Nagar,Pune,Shazys Food Services,299,2.9,80,"['Indian', 'Chinese', 'Fast Food']",Viman Nagar,75
4740,396558,Viman Nagar,Pune,House Of Wadapav,199,2.9,80,"['Indian', 'Snacks']",Viman Nagar,80
4741,396592,Vishnu Garden,Chennai,Kadalsaar Unavagam,400,2.9,80,"['Biryani', 'South Indian']",Lolathur,75
4742,396613,South Kolkata,Kolkata,Supper Me,400,4.3,500,"['Continental', 'Chinese', 'Beverages', 'Indian', 'American', 'European', 'Healthy Food', 'Italian']",Ballygunge Circular Road,58
4743,396621,Banjara Hills,Hyderabad,Sher-E-Punjab Dhaba,350,2.9,80,"['Indian', 'Biryani']",Banjara Hills,40
4744,396741,Shantinagar,Bangalore,Faasos,200,4.1,100,"['Combo', 'Snacks', 'Beverages', 'Desserts', 'Indian']",Residency Road,34
4745,396742,Shantinagar,Bangalore,Behrouz Biryani,500,4.3,100,"['Biryani', 'Mughlai', 'Lucknowi', 'Hyderabadi', 'Kebabs', 'North Indian', 'Persian', 'Desserts']",Residency Road,48
4746,396744,Shantinagar,Bangalore,Oven Story Pizza,600,4.1,100,['Pizzas'],Residency Road,44
4747,396745,Shantinagar,Bangalore,Firangi Bake,400,4.5,20,"['Italian', 'Mexican', 'Pastas']",Residency Road,45
4748,396746,Shantinagar,Bangalore,Sweet Truth - Cake And Desserts,450,2.9,80,"['Ice Cream', 'Bakery', 'Desserts', 'Beverages']",Residency Road,45
4749,396747,Shantinagar,Bangalore,Lunchbox,200,4.1,100,"['North Indian', 'Chinese', 'Desserts', 'Biryani']",Residency Road,38
4750,396748,Shantinagar,Bangalore,The Good Bowl,400,4.2,20,"['North Indian', 'Biryani', 'Chinese', 'Asian', 'Pastas', 'Desserts']",Residency Road,39
4751,396750,Shantinagar,Bangalore,The Biryani Life,250,4.0,20,"['Biryani', 'Hyderabadi', 'Lucknowi', 'North Indian', 'Mughlai', 'Combo', 'Desserts']",Residency Road,38
4752,396752,Shantinagar,Bangalore,Slay Coffee,200,4.4,20,"['Beverages', 'Desserts']",Residency Road,44
4753,396878,Salt Lake,Kolkata,Wow! China Bistro,400,4.0,100,"['Tibetan', 'Fast Food', 'Chinese', 'Asian', 'Snacks', 'Continental', 'Desserts', 'Beverages']",Saltlake,77
4754,396976,Nallakunta & Vidyanagar,Hyderabad,Mamaz Almandi,300,2.9,80,['Indian'],Nallakunta & Vidyanagar,48
4755,397037,Scruz Bandra East,Mumbai,Saavis Magic Kitchen,250,2.9,80,"['Indian', 'Fast Food']",Scruz Bandra East,50
4756,397118,Scruz Bandra East,Mumbai,Tokyo Treat,1200,2.9,80,"['Japanese', 'Asian', 'Healthy Food']",Scruz Bandra East,47
4757,397120,Scruz Bandra East,Mumbai,Sushiholic,1300,3.2,20,"['Japanese', 'Asian', 'Healthy Food']",Scruz Bandra East,40
4758,397128,Scruz Bandra East,Mumbai,Fitbox,250,2.9,80,"['Healthy Food', 'Salads', 'Keto']",Scruz Bandra East,42
4759,397442,Bandra West,Mumbai,U Turn At Khar West,200,2.9,80,['Chinese  Continental  Indian  Beverages'],Bandra West,60
4760,397493,Himayath Nagar,Hyderabad,A Bowl Affair,300,3.3,20,"['Indian', 'Chinese', 'Combo', 'Beverages']",Himayath Nagar,33
4761,397566,Kurla,Mumbai,Shaan Chinese,400,2.9,80,['Chinese'],Kurla,37
4762,397567,Annanagar,Chennai,Le Roll Factorie,300,2.9,80,"['Chinese', 'North Indian', 'Continental']",Annanagar,69
4763,397573,Ruby Area,Kolkata,Wah Phuchka,100,4.7,50,"['Fast Food', 'Beverages', 'Snacks']",Ruby Area,74
